keyword,dizi,dizi_anahtar,kategori,tur,tur_ham,cikis_yili,sezon_sayisi,durum,sayfa_tipi,intent_katmani,entity_tipi,sezon_no,belirsiz_ad,marka_tipi,dil,erisim,apple_resmi,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
you would do it too oyuncuları,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Oyuncular,Bilgi,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too cast,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Oyuncular,Bilgi,Dizi,,hayır,Jenerik,en,Doğrulanacak,evet,0,,,,,,evet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
you would do it too kaç sezon,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Sezon Bilgi,Bilgi,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too yeni sezon ne zaman,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Sezon Takvim,Sezon & Takvim,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too 2 sezon,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Sezon Takvim,Sezon & Takvim,Sezon,2,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too 3 sezon,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Sezon Takvim,Sezon & Takvim,Sezon,3,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too 2 sezon ne zaman,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Sezon Takvim,Sezon & Takvim,Sezon,2,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too 3 sezon ne zaman,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Sezon Takvim,Sezon & Takvim,Sezon,3,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too season 2,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Sezon Takvim,Sezon & Takvim,Sezon,2,hayır,Jenerik,en,Doğrulanacak,evet,10,,,,,,evet,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0
you would do it too season 3,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Sezon Takvim,Sezon & Takvim,Sezon,3,hayır,Jenerik,en,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too 2 sezon izle,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,İzleme,İzleme,Sezon,2,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too 3 sezon izle,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,İzleme,İzleme,Sezon,3,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you would do it too 1 sezon 1 bölüm,You Would Do It Too,you would do it too,Non-English,Suç & Gerilim,Spanish-language thriller,2024,1,Bitti,Bölüm,İzleme,Bölüm,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
