keyword,dizi,dizi_anahtar,kategori,tur,tur_ham,cikis_yili,sezon_sayisi,durum,sayfa_tipi,intent_katmani,entity_tipi,sezon_no,belirsiz_ad,marka_tipi,dil,erisim,apple_resmi,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,mantik_denetim
for all mankind dizibox,For All Mankind,for all mankind,Drama,Bilim Kurgu,Alternate history science fiction,2019,5,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Meşru Görünür,evet,40,LOW,6,,,,evet,30,70,70,90,50,40,20,20,20,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,20,40,20,50,140,
the morning show,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,3600,LOW,4,0.52,0.32,0.97,evet,1900,1900,1900,1900,2900,2900,3600,3600,5400,5400,5400,3600,3600,1600,1900,1900,1900,1900,1900,1600,1300,1600,2400,2400,3600,1900,1600,1300,1600,2400,2900,
the morning show dizi,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,10,LOW,0,,,,evet,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,30,40,50,40,
the morning show dizisi,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the morning show izle,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,1000,LOW,6,0.51,0.22,0.51,evet,390,260,390,390,390,480,1300,1600,2900,2400,1900,1300,1000,320,390,480,480,590,480,480,480,480,720,880,1000,720,720,720,720,1000,1300,
the morning show türkçe dublaj izle,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,20,LOW,5,,,,evet,10,10,10,10,10,10,10,30,40,40,50,30,30,10,10,10,10,10,10,10,10,10,10,30,10,10,10,20,20,10,20,
the morning show altyazılı izle,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,20,LOW,5,,,,evet,10,10,10,10,10,10,10,10,40,40,30,20,10,10,10,10,10,10,10,20,10,20,30,40,50,20,30,20,20,30,50,
the morning show türkçe dublaj,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,10,LOW,2,,,,evet,10,10,10,10,20,10,10,10,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
the morning show dizi izle,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,10,,,,,,evet,0,10,10,10,10,10,10,10,40,10,20,10,10,10,0,10,10,0,10,0,10,10,10,10,10,10,10,10,30,20,30,
the morning show full izle,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the morning show hangi platformda,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Platform,İzleme,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,110,LOW,23,,,,evet,20,30,30,30,70,70,90,70,110,170,320,260,480,20,30,50,40,40,40,30,30,70,90,50,260,50,70,70,30,90,110,
the morning show nereden izlenir,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Platform,İzleme,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,20,LOW,29,,,,evet,10,10,10,10,10,0,10,10,30,50,70,10,20,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,
the morning show netflix,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Platform,İzleme,Dizi,,hayır,Platform Markalı,tr,Meşru Görünür,evet,10,LOW,0,,,,evet,10,10,10,10,20,10,10,10,30,20,30,20,20,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,
the morning show apple tv,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Platform,İzleme,Dizi,,hayır,Platform Markalı,tr,Meşru Görünür,evet,10,,,,,,evet,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,
the morning show konusu,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Konu,Bilgi,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,70,LOW,0,,,,evet,30,40,40,40,50,40,70,70,70,90,140,90,170,30,50,20,50,30,40,20,10,30,70,70,170,40,30,30,30,40,30,
the morning show ne anlatıyor,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Konu,Bilgi,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the morning show oyuncuları,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Oyuncular,Bilgi,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,390,LOW,0,,,,evet,170,170,260,260,320,320,390,480,590,590,480,320,260,210,170,210,140,170,210,140,140,170,170,210,70,0,0,0,0,0,0,
the morning show cast,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Oyuncular,Bilgi,Dizi,,hayır,Jenerik,en,Meşru Görünür,evet,110,LOW,0,,,,evet,50,30,40,40,40,70,110,110,210,320,170,70,50,40,50,90,70,40,50,50,40,70,70,70,40,30,20,10,20,20,50,
the morning show kaç sezon,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Bilgi,Bilgi,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the morning show yeni sezon ne zaman,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Dizi,,hayır,Jenerik,tr,Meşru Görünür,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the morning show 2 sezon,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,2,hayır,Jenerik,tr,Meşru Görünür,evet,20,LOW,0,,,,evet,10,10,10,10,10,10,10,30,40,40,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,20,20,20,
the morning show 3 sezon,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,3,hayır,Jenerik,tr,Meşru Görünür,evet,20,LOW,5,,,,evet,10,10,10,10,10,10,20,20,40,30,30,20,10,10,10,10,10,10,10,10,20,20,20,50,30,50,30,20,30,30,40,
the morning show 4 sezon,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,4,hayır,Jenerik,tr,Meşru Görünür,evet,50,LOW,0,,,,evet,10,10,10,20,10,10,30,40,210,140,140,20,20,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
the morning show 5 sezon,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,5,hayır,Jenerik,tr,Meşru Görünür,evet,10,LOW,0,,,,evet,10,10,10,10,10,10,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
the morning show 2 sezon ne zaman,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,2,hayır,Jenerik,tr,Meşru Görünür,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the morning show 3 sezon ne zaman,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,3,hayır,Jenerik,tr,Meşru Görünür,evet,10,,,,,,evet,0,0,0,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0,10,10,0,0,10,20,0,0,0,0,0,0,0,
the morning show 4 sezon ne zaman,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,4,hayır,Jenerik,tr,Meşru Görünür,evet,20,,,,,,evet,0,10,10,10,10,10,10,10,20,50,110,70,70,30,50,50,50,70,70,40,40,40,50,70,50,0,0,0,0,0,0,
the morning show 5 sezon ne zaman,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,5,hayır,Jenerik,tr,Meşru Görünür,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the morning show season 2,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,2,hayır,Jenerik,en,Meşru Görünür,evet,10,LOW,0,,,,evet,10,10,0,10,10,10,10,20,30,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
the morning show season 3,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,3,hayır,Jenerik,en,Meşru Görünür,evet,20,LOW,0,,,,evet,10,10,10,10,10,10,20,20,50,40,40,20,10,10,10,10,20,10,10,20,20,20,20,40,50,20,20,20,40,50,110,
the morning show season 4,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,4,hayır,Jenerik,en,Meşru Görünür,evet,70,LOW,3,,,,evet,10,10,10,10,20,10,50,40,170,210,210,70,50,40,70,70,90,70,90,70,50,70,70,50,50,40,110,70,40,50,70,
the morning show season 5,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Sezon Takvim,Sezon & Takvim,Sezon,5,hayır,Jenerik,en,Meşru Görünür,evet,20,LOW,0,,,,evet,10,10,10,20,30,20,40,20,50,10,10,10,0,10,10,10,0,10,10,0,10,10,10,0,10,10,0,10,10,10,10,
the morning show 2 sezon izle,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Sezon,2,hayır,Jenerik,tr,Meşru Görünür,evet,10,LOW,0,,,,evet,10,10,10,10,10,10,30,20,30,20,10,10,10,10,10,20,10,10,10,10,10,30,10,10,10,10,10,10,20,20,30,
the morning show 3 sezon izle,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Sezon,3,hayır,Jenerik,tr,Meşru Görünür,evet,20,LOW,0,,,,evet,10,20,10,20,10,20,20,20,50,20,30,30,10,10,10,10,10,10,10,10,10,20,20,30,40,40,30,30,40,70,90,
the morning show 4 sezon izle,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Sezon,4,hayır,Jenerik,tr,Meşru Görünür,evet,140,LOW,3,,,,evet,20,30,30,20,40,90,110,210,720,390,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
the morning show 5 sezon izle,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,İzleme,İzleme,Sezon,5,hayır,Jenerik,tr,Meşru Görünür,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the morning show 1 sezon 1 bölüm,The Morning Show,the morning show,Drama,Drama,Drama,2019,4,Devam,Bölüm,İzleme,Bölüm,,hayır,Jenerik,tr,Meşru Görünür,evet,20,LOW,7,,,,evet,10,10,10,10,10,10,20,10,20,40,30,20,20,10,10,10,10,10,10,10,10,10,10,10,30,20,30,20,10,30,20,
